ProteinID,Gene,Ctrl_1,Ctrl_2,Ctrl_3,Treat_1,Treat_2,Treat_3
P00818,EGFR,2345.67,2234.56,2456.78,5678.90,5456.78,5890.12
P00533,EGFR,1234.56,1189.23,1298.34,4567.89,4234.56,4789.01
P04637,TP53,5678.90,5456.78,5890.12,1234.56,1123.45,1345.67
P31749,AKT1,890.12,856.78,923.45,3456.78,3234.56,3678.90
P28482,MAPK1,3456.78,3234.56,3678.90,890.12,823.45,945.67
P27361,MAPK3,2345.67,2234.56,2456.78,5678.90,5456.78,5890.12
P42345,MTOR,4567.89,4234.56,4789.01,1234.56,1123.45,1345.67
P49818,GSK3B,789.12,756.78,823.45,1890.12,1723.45,1956.78
P06493,CDK1,1234.56,1189.23,1298.34,5678.90,5456.78,5890.12
P40763,STAT3,5678.90,5456.78,5890.12,1234.56,1123.45,1345.67
P05412,JUN,890.12,856.78,923.45,2345.67,2123.45,2456.78
P01100,FOS,2345.67,2234.56,2456.78,890.12,823.45,945.67
P19838,NFKB1,3456.78,3234.56,3678.90,1234.56,1123.45,1345.67
Q04201,RELA,4567.89,4234.56,4789.01,2345.67,2123.45,2456.78
P06400,RB1,6789.12,6523.45,6987.89,567.89,523.45,589.23
Q13315,ATM,1234.56,1189.23,1298.34,4567.89,4234.56,4789.01
Q13535,ATR,567.89,523.45,589.23,3456.78,3234.56,3678.90
O14757,CHK1,2345.67,2234.56,2456.78,6789.12,6523.45,6987.89
O96017,CHK2,3456.78,3234.56,3678.90,1234.56,1123.45,1345.67
Q00987,MDM2,4567.89,4234.56,4789.01,890.12,856.78,923.45
