ProteinID,Gene,Ctrl_1,Ctrl_2,Ctrl_3,Treat_1,Treat_2,Treat_3
PROT_001,GAPDH,1234.56,1189.23,1298.34,4567.89,4234.56,4789.01
PROT_002,PKM2,3456.78,3321.45,3567.89,1234.56,1123.45,1345.67
PROT_003,LDHA,567.89,523.45,589.23,4567.89,4234.56,4789.01
PROT_004,NDUFS1,6789.12,6523.45,6987.89,1234.56,1123.45,1345.67
PROT_005,SDHA,890.12,856.78,923.45,2345.67,2123.45,2456.78
PROT_006,COX4I1,2345.67,2234.56,2456.78,890.12,823.45,945.67
PROT_007,ATP5A1,678.90,623.45,689.23,4567.89,4234.56,4789.01
PROT_008,IDH3A,4567.89,4234.56,4789.01,1234.56,1123.45,1345.67
PROT_009,MDH2,1234.56,1189.23,1298.34,3456.78,3234.56,3678.90
PROT_010,ACO2,5678.90,5456.78,5890.12,890.12,823.45,945.67
PROT_011,OGDH,456.78,423.45,489.23,3456.78,3234.56,3678.90
PROT_012,SUCLA2,3456.78,3234.56,3678.90,1234.56,1123.45,1345.67
PROT_013,HK1,1234.56,1189.23,1298.34,4567.89,4234.56,4789.01
PROT_014,HK2,7890.12,7567.89,8234.56,567.89,523.45,589.23
PROT_015,PGK1,890.12,856.78,923.45,2345.67,2123.45,2456.78
PROT_016,PGAM1,3456.78,3234.56,3678.90,890.12,823.45,945.67
PROT_017,ENO1,1234.56,1189.23,1298.34,5678.90,5456.78,5890.12
PROT_018,PKM2,5678.90,5456.78,5890.12,1234.56,1123.45,1345.67
PROT_019,LDHA,789.12,756.78,823.45,1890.12,1723.45,1956.78
PROT_020,PDHA1,3456.78,3234.56,3678.90,1234.56,1123.45,1345.67
